;m;m_unit;v;v_unit;p;p_unit;h;h_unit;T;T_unit;Td_bp;Td_bp_unit;vol;vol_unit;x;x_unit;s;s_unit;water;LiBr
1;8.198402365731546;kg / s;0.005839775218576164;m3 / s;0.7018176581498454;bar;215208.67890430373;J / kg;112.00000000735031;C;0.0;C;0.0007123064907116302;m3 / kg;0.0;-;637.3872134283121;J / kgK;0.5504249823955837;0.44957501760441626
2;8.198402365731546;kg / s;0.005694249412506296;m3 / s;0.7018176581498454;bar;89400.83103557059;J / kg;59.14448835389527;C;0.0;C;0.0006945559827982651;m3 / kg;0.0;-;286.1436102152329;J / kgK;0.5504249823955837;0.44957501760441626
3;8.198402365731546;kg / s;7.817163973680693;m3 / s;0.012281988730474777;bar;89400.8310355706;J / kg;29.105560024949966;C;0.0;C;0.953498453107841;m3 / kg;0.0;-;297.52923687911823;J / kgK;0.5504249823955837;0.44957501760441626
4;7.13209902024998;kg / s;0.0045838406208446375;m3 / s;0.012281988730474775;bar;30484.73115323581;J / kg;35.000000714398766;C;0.0;C;0.0006427056898438819;m3 / kg;0.0;-;101.61573253069683;J / kgK;0.4832100798355265;0.5167899201644736
40;7.1320990202499805;kg / s;0.004583840621463305;m3 / s;0.012281988730474777;bar;30484.731153235814;J / kg;35.000000714399334;C;0.0;C;0.0006427056899306259;m3 / kg;0.0;-;101.61573253071067;J / kgK;0.4832100798355265;0.5167899201644736
5;7.1320990202499805;kg / s;0.004583739407323589;m3 / s;0.7018176581498452;bar;30543.819117528074;J / kg;35.008615390884415;C;0.0;C;0.0006426914985769405;m3 / kg;0.0;-;101.66366940226362;J / kgK;0.4832100798355265;0.5167899201644736
6;7.1320990202499805;kg / s;0.004699264043377637;m3 / s;0.7018176581498452;bar;175160.9023445168;J / kg;102.00000090266718;C;0.0;C;0.0006588893438011924;m3 / kg;0.0;-;525.8839954225805;J / kgK;0.4832100798355265;0.5167899201644736
10;1.066303345481566;kg / s;121.03993833328609;m3 / s;0.012281988730474777;bar;2555148.675294767;J / kg;29.10556002630983;C;19.105560726682256;C;113.51360646685563;m3 / kg;-1.0;-;9022.59710845169;J / kgK;1.0;nan
11;1.066303345481566;kg / s;121.03993833328609;m3 / s;0.012281988730474777;bar;2555148.675294767;J / kg;29.10556002630983;C;19.105560726682256;C;113.51360646685563;m3 / kg;-1.0;-;9022.59710845169;J / kgK;1.0;nan
12;1.066303345481566;kg / s;0.0010666717475531539;m3 / s;0.012281988730474777;bar;42021.25294647092;J / kg;9.999999299627575;C;0.0;C;0.0010003454946222845;m3 / kg;0.0;-;151.0857802635418;J / kgK;1.0;nan
13;1.066303345481566;kg / s;0.0010666371307486422;m3 / s;0.7018176581498458;bar;42113.22128506457;J / kg;10.005888402293976;C;-79.99411159765867;C;0.0010003130303102683;m3 / kg;-1.0;-;151.16698043680233;J / kgK;1.0;nan
14;1.066303345481566;kg / s;2.515471846436459;m3 / s;0.7018176581498451;bar;2659530.014195669;J / kg;89.99999999995208;C;0.0;C;2.359058383428795;m3 / kg;1.0;-;7478.120417364946;J / kgK;1.0;nan
