,m,p,h,T,water,LiBr,ex_ph,ex_mech,ex_th
1,8.198402365731546,70181.76581498454,215208.67890430373,385.1500000073503,0.5504249823955837,0.44957501760441626,25266.4926332846,-20.513582807752755,25287.006216092355
2,8.198402365731546,70181.76581498454,89400.83103557059,332.29448835389525,0.5504249823955837,0.44957501760441626,4181.925062531018,-20.513582807752755,4202.438645338771
3,8.198402365731546,1228.1988730474777,89400.8310355706,302.25556002494994,0.5504249823955837,0.44957501760441626,787.3004726936208,-67.95048656969338,855.2509592633141
4,7.13209902024998,1228.1988730474775,30484.73115323581,308.15000071439874,0.4832100798355265,0.5167899201644736,273.96110451519326,-63.35479547151135,337.3158999867046
40,7.1320990202499805,1228.1988730474777,30484.731153235814,308.1500007143993,0.4832100798355265,0.5167899201644736,273.9611045110714,-63.35479547151135,337.3158999825828
5,7.1320990202499805,70181.76581498452,30543.819117528074,308.1586153908844,0.4832100798355265,0.5167899201644736,318.75669054981955,-19.126188918283514,337.88287946810306
6,7.1320990202499805,70181.76581498452,175160.9023445168,375.15000090266716,0.4832100798355265,0.5167899201644736,18454.549714581077,-19.126188918283514,18473.67590349936
10,1.066303345481566,1228.1988730474777,2555148.675294767,302.2555600263098,1.0,,-130376.87018177565,-130429.42726093717,52.55707916152187
11,1.066303345481566,1228.1988730474777,2555148.675294767,302.2555600263098,1.0,,-130376.87018177565,-130429.42726093717,52.55707916152187
12,1.066303345481566,1228.1988730474777,42021.25294647092,283.14999929962755,1.0,,1536.8099692240357,-130429.42726093717,131966.2372301612
13,1.066303345481566,70181.76581498458,42113.22128506457,283.15588840229395,1.0,,1604.5684761606642,-29.906748845180296,1634.4752250058445
14,1.066303345481566,70181.76581498451,2659530.014195669,363.14999999995206,1.0,,434490.1941666394,-29.906748845180296,434520.1009154846
